Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,random100,-0.3379125614213125,-1.4542256180837139,0.02119700748129676,0.9503153726922545,1.0,33/98,25.11%,RAB11B-AS1;LINC02761;BTBD9-AS1;MIA2-AS1;ADAMTSL2;GLTP;C1QTNF2;GAPDHP28;DYNLT5;NTRAS;PLA1A;RASL12;WIF1;ITIH2;FCN1;CD14;GJB1;ANKRD44;SLC27A1;TMF1P1;CLIC5;LCK;CCL8;TCAF2P1;OXT;ALDH8A1;RNU4-59P;MIR4265;RNU6-61P;LINC01994;COX6CP12;LINC02123;ASB2
prerank,random702,-0.3413122140223885,-1.4525530232067523,0.024721878862793572,0.9132315853552484,1.0,28/98,17.67%,ABCC11;C1QTNF7;MPC1;LPL;PPP1R13B;PLCL2;PNMA6F;APOD;FGF12;MYH11;DYNLRB2-AS1;E2F3P2;MPI;ILF3-DT;RPL6P21;CLVS1;CTXND1;ARHGAP27P2;LINC01848;MIR4480;TRAK2;LINC01544;FAM172A;SSTR2;SPTBN4;SULT1C4;SERPINA1;RNF128
prerank,random379,-0.33902210961522283,-1.4391233548067666,0.022756005056890013,0.990994705652731,1.0,36/98,31.10%,SLC2A1-DT;IDH2-DT;UBE2QL1;NPY1R;GPR21;SMIM10L2A;RTN1;SPAG4;KL;TPBGL-AS1;LINC00689;DIO2-AS1;MS4A7;AKR1C7P;ROR1-AS1;INA;PPM1K-DT;MTND4P35;TCEAL1;LOXHD1;RPS4Y1;PPIAP17;RNU6-1258P;LINC02438;RNA5SP404;RN7SL668P;OR6C68;RNU7-55P;CFC1B;FEZ2;AP1AR-DT;ZNF653;CYB561D2;CTAGE1;PRUNE1;SRSF4
prerank,random433,0.28513406167054167,1.4358410656674925,0.015544041450777202,0.5389419182857436,0.938,26/98,15.76%,BUB1B-PAK6;CCDC71L;HSD3BP3;PTPRD-AS1;EPN2-AS1;SPIN4;MRPL22P1;DPPA4;SLC2A6;RAB25;A1CF;CHODL;BRD7P6;NRTN;LINC02113;NR2C2AP;ANAPC1;MIR203A;EBNA1BP2;WFDC6;NDUFA3P2;PPP1R18;RNA5SP60;TRIM51;FTH1P23;NUP153
prerank,random787,-0.3314955392205971,-1.433913354474455,0.01847290640394089,0.9906837240505386,1.0,29/98,19.90%,SIX1;CCDC170;RNF208;HAAO;HIPK1-AS1;TRPC3;VOPP1;LIN7B;CFI;RIPPLY2;CEACAM22P;IGSF22;ANKRD33BP10;ILF3-DT;KRT38;EPHX2;HMGN2P2;CFC1;S100A11P1;CSAD;CYP17A1;VN1R85P;TG;AKAP17BP;ZBTB14;INSRR;GLIS1;NR1H3;IL1RL1
prerank,random970,-0.33217859017541795,-1.4304738088103468,0.027194066749072928,0.9771758325036249,1.0,33/98,20.44%,SLC2A1-DT;FBXL8;EIF1B-AS1;CDCA7L;VAMP5;LINC02705;LINC02716;MYLK2;MGP;DUXAP9;CHL1;SERPINB10;SYNPO;TMEM63C;C11orf21;CEACAM4;OTOAP1;LINC01856;PGC;MIR4464;RNU6-707P;CGNL1;RN7SL596P;TMEM139-AS1;ECM1;GAPDHP38;STAC2;KCTD18;CHGB;RBAKDN;LRP1-AS;MALT1-AS1;MT-TY
prerank,random794,-0.3305593128109423,-1.4294774506911752,0.03354037267080745,0.9411144164992324,1.0,38/98,29.00%,TWIST2;FHIT;LINC01847;LIX1L-AS1;HEY2;TSC22D3;PHYH;SCPEP1;MAP3K15;INSM2;ETS1-AS1;LINC00452;MRPL37P1;VAX1;RNA5SP460;CD300LD;SYT15B;MARK2P10;STX1A;TSTD3;GPM6A-DT;PPIAL4H;VWC2L-IT1;RNU6-217P;IGHJ3P;SNX18P1Y;SNORD113-9;NPAP1P4;XAGE5;LINC00927;KCNA3;SLC1A6;ATP13A5;ZNRF2P2;TXNDC11;MIR9-3HG;FCMR;CCDC13-AS1
prerank,random714,-0.3321986151738978,-1.4244640146183045,0.02402022756005057,0.9464380105426397,1.0,40/98,32.10%,FHIT;CDKN1B;MTUS2-AS2;ESAM;SHISA6;RN7SKP25;FAM166A;MNDA;DIPK2B;SPATA31D5P;SLC26A5-AS1;FMOD;SLFN11;IGLV3-25;RN7SL767P;IL1R1-AS1;OR1X1P;KIF19;TLX1;RPL12P9;FAM91A3P;GUSBP4;LINC02302;LONRF2P1;RN7SKP85;OR2L3;IGKV2-19;RNU6-492P;USP17L1;LINC00226;BAAT;LRRC4C;DDIT4;DLX6-AS1;PRSS54;RUNX2;ASNS;LINC02736;RN7SKP112;PGAP3
prerank,random96,-0.32973226357874325,-1.4193067771078094,0.030012004801920768,0.9540113736598214,1.0,43/98,32.94%,HLA-DPB1;CPSF1P1;NEK3;TMEM38A;SLC37A2;RNU6-479P;AAMDC;LYZL2;NAIF1;RPH3AL-AS1;LCN1P1;KCNH1-IT1;RNU6-429P;PIRT;TNFSF12-TNFSF13;DOK5;NRGN;CYP26C1-DT;KCNH4;RPL10P14;RPL23AP7;LINC01123;DQX1;CASTOR2;CD200R1L-AS1;MTCO1P7;IGHJ3P;C20orf181;DUXAP6;SEPTIN14P24;SREBF1;KRT89P;AGTPBP1;SLC27A4;LINC01554;DLGAP2-AS1;PGAM1P3;MIR559;ASB9;CYP2C60P;LGALS9C;HUNK-AS1;SUGT1P4-STRA6LP-CCDC180
prerank,random819,-0.3248678212492081,-1.4173276600205738,0.027603513174404015,0.9337081733815362,1.0,43/98,32.18%,TOLLIP-DT;MPZ;RNU6V;RASIP1;SMC2-DT;TPTE2;NDUFA4L2;RP9P;DYNLT5;RNA5SP498;NACAD;C16orf89;CNTN6;SLC25A5P7;MRPS21P7;LINC01611;MT1JP;WAS;RPL21P107;CABP1;CPNE7;NWD2;GRIN1;PABPC1L2A;LINC03025;UQCRHP1;SARDH;FOXD4;OR52E4;SUPT20HL2;SLC6A10P;RNU6-320P;RBM6;MIA3;ZNF677;FHL1;PLEKHH1;ZNF603P;HSPA8P14;IFI27L1;LIFR-AS1;CHCHD2P11;SNX11
